OID_,Name,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name_1,LakeAddChe,Shape_Leng,Shape_Length,Shape_Area,Area_km2,Area_km2geodesic
124,R/Cv,45,0,S3INTSINFLOW3160730,Y,35682.3182,129.8472064,293.840053,0.00029384,0.000294024
125,R/Cv,46,0,S3DNTS7160730,Y,39206.58459,129.8472064,293.840053,0.00029384,0.000294024
126,MpMbMpv,7,0,site42,Y,11471.6213,5108.036338,1035274.887,1.035274887,1.036082591
127,MpMbMpv,45,0,S3INTSINFLOW3160730,Y,35682.3182,5108.036338,1035274.887,1.035274887,1.036082591
128,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,5108.036338,1035274.887,1.035274887,1.036082591
129,MpMbMpv,8,0,site53,Y,9609.948678,6279.20733,857550.9803,0.85755098,0.858211304
130,MpMbMpv,45,0,S3INTSINFLOW3160730,Y,35682.3182,6279.20733,857550.9803,0.85755098,0.858211304
131,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,6279.20733,857550.9803,0.85755098,0.858211304
132,MpMbMpv,9,0,site27,Y,7068.348341,3702.063228,361039.2412,0.361039241,0.361321864
133,MpMbMpv,45,0,S3INTSINFLOW3160730,Y,35682.3182,3702.063228,361039.2412,0.361039241,0.361321864
134,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,3702.063228,361039.2412,0.361039241,0.361321864
135,MpMbMpv,16,0,SDDNTS400150704,Y,7087.512259,1435.957008,23332.87687,0.023332877,0.023350826
136,MpMbMpv,45,0,S3INTSINFLOW3160730,Y,35682.3182,1435.957008,23332.87687,0.023332877,0.023350826
137,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,1435.957008,23332.87687,0.023332877,0.023350826
138,MpMbMpv,43,0,S2DNTS5160617,Y,24551.93494,489.6737443,4152.004459,0.004152004,0.004155489
139,MpMbMpv,44,0,S3UPTS6160730,Y,25887.85677,489.6737443,4152.004459,0.004152004,0.004155489
140,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,489.6737443,4152.004459,0.004152004,0.004155489
141,MpMbMpv,9,0,site27,Y,7068.348341,342.9430778,2043.765958,0.002043766,0.002044748
142,MpMbMpv,45,0,S3INTSINFLOW3160730,Y,35682.3182,342.9430778,2043.765958,0.002043766,0.002044748
143,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,342.9430778,2043.765958,0.002043766,0.002044748
144,R/Cv,7,0,site42,Y,11471.6213,2896.605275,373384.3858,0.373384386,0.373670195
145,R/Cv,45,0,S3INTSINFLOW3160730,Y,35682.3182,2896.605275,373384.3858,0.373384386,0.373670195
146,R/Cv,46,0,S3DNTS7160730,Y,39206.58459,2896.605275,373384.3858,0.373384386,0.373670195
147,R/Cv,8,0,site53,Y,9609.948678,6574.789568,892677.6665,0.892677667,0.893365035
148,R/Cv,45,0,S3INTSINFLOW3160730,Y,35682.3182,6574.789568,892677.6665,0.892677667,0.893365035
149,R/Cv,46,0,S3DNTS7160730,Y,39206.58459,6574.789568,892677.6665,0.892677667,0.893365035
150,ApAt,58,0,siteSC-9A,Y,258694.6456,529.7501345,12986.83244,0.012986832,0.012997172
151,ApAt,59,0,siteSCoutlet170710,Y,263523.1099,529.7501345,12986.83244,0.012986832,0.012997172
152,ApAt,60,0,siteSCoutlet170807,Y,267972.9067,529.7501345,12986.83244,0.012986832,0.012997172
153,MpMbMpv,56,0,SC-8B,Y,237453.753,21238.78942,6344847.762,6.344847762,6.349711515
154,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,21238.78942,6344847.762,6.344847762,6.349711515
155,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,21238.78942,6344847.762,6.344847762,6.349711515
156,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,21238.78942,6344847.762,6.344847762,6.349711515
157,MpMbMpv,57,0,site14,Y,48819.29437,18239.10103,3365090.797,3.365090797,3.367761753
158,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,18239.10103,3365090.797,3.365090797,3.367761753
159,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,18239.10103,3365090.797,3.365090797,3.367761753
160,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,18239.10103,3365090.797,3.365090797,3.367761753
161,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,370.7628843,2306.162339,0.002306162,0.002292395
162,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,370.7628843,2306.162339,0.002306162,0.002292395
163,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,370.7628843,2306.162339,0.002306162,0.002292395
164,Cx,58,0,siteSC-9A,Y,258694.6456,370.7628843,2306.162339,0.002306162,0.002292395
165,Cx,59,0,siteSCoutlet170710,Y,263523.1099,370.7628843,2306.162339,0.002306162,0.002292395
166,Cx,60,0,siteSCoutlet170807,Y,267972.9067,370.7628843,2306.162339,0.002306162,0.002292395
167,MpMbMpv,57,0,site14,Y,48819.29437,15969.70644,3182028.54,3.18202854,3.184510209
168,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,15969.70644,3182028.54,3.18202854,3.184510209
169,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,15969.70644,3182028.54,3.18202854,3.184510209
170,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,15969.70644,3182028.54,3.18202854,3.184510209
171,R/Cv,42,0,S2INTSINFLOW2160617,Y,21209.24344,1936.045367,186687.1378,0.186687138,0.186827663
172,R/Cv,43,0,S2DNTS5160617,Y,24551.93494,1936.045367,186687.1378,0.186687138,0.186827663
173,R/Cv,44,0,S3UPTS6160730,Y,25887.85677,1936.045367,186687.1378,0.186687138,0.186827663
174,R/Cv,46,0,S3DNTS7160730,Y,39206.58459,1936.045367,186687.1378,0.186687138,0.186827663
175,R/Cv,42,0,S2INTSINFLOW2160617,Y,21209.24344,1672.047032,86254.82641,0.086254826,0.086319241
176,R/Cv,43,0,S2DNTS5160617,Y,24551.93494,1672.047032,86254.82641,0.086254826,0.086319241
177,R/Cv,44,0,S3UPTS6160730,Y,25887.85677,1672.047032,86254.82641,0.086254826,0.086319241
178,R/Cv,46,0,S3DNTS7160730,Y,39206.58459,1672.047032,86254.82641,0.086254826,0.086319241
179,Mv,15,0,SDDNTS300150704,Y,6912.094798,2363.253432,28841.18836,0.028841188,0.028863212
180,Mv,16,0,SDDNTS400150704,Y,7087.512259,2363.253432,28841.18836,0.028841188,0.028863212
181,Mv,45,0,S3INTSINFLOW3160730,Y,35682.3182,2363.253432,28841.18836,0.028841188,0.028863212
182,Mv,46,0,S3DNTS7160730,Y,39206.58459,2363.253432,28841.18836,0.028841188,0.028863212
183,Cx,56,0,SC-8B,Y,237453.753,27823.46123,10434249.31,10.43424931,10.44267559
184,Cx,58,0,siteSC-9A,Y,258694.6456,27823.46123,10434249.31,10.43424931,10.44267559
185,Cx,59,0,siteSCoutlet170710,Y,263523.1099,27823.46123,10434249.31,10.43424931,10.44267559
186,Cx,60,0,siteSCoutlet170807,Y,267972.9067,27823.46123,10434249.31,10.43424931,10.44267559
187,Cx,57,0,site14,Y,48819.29437,18879.29941,2580490.597,2.580490597,2.582599957
188,Cx,58,0,siteSC-9A,Y,258694.6456,18879.29941,2580490.597,2.580490597,2.582599957
189,Cx,59,0,siteSCoutlet170710,Y,263523.1099,18879.29941,2580490.597,2.580490597,2.582599957
