OID_,Name,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
49,site62,49,8672.000000000000000,1871695.336530540371314,0.000000000000000,13.798088073730469,13.798088073730469,3.153892695103428,2.268666296073278,27350.557451936925645,2.727159738540649,6.378326940536500
50,site13,50,10461.000000000000000,2257818.832500689662993,0.000000000000000,8.173234939575195,8.173234939575195,2.215412533415873,1.653643704231424,23175.430512063441711,1.949436187744141,4.438056945800781
51,site10,51,475879.000000000000000,102709929.088193848729134,0.000000000000000,44.780345916748047,44.780345916748047,5.611710628044834,5.305693090603222,2670495.241963347885758,4.056828975677490,12.776505279541016
52,site7,52,51866.000000000000000,11194343.902732126414776,0.000000000000000,26.202741622924805,26.202741622924805,4.752534809583271,3.768858455869506,246494.970433845941443,4.141296386718750,9.325379848480225
53,site57,53,11431.000000000000000,2467175.898510217666626,0.000000000000000,31.026712417602539,31.026712417602539,4.893573371903634,4.041030754346401,55938.437214230441896,4.108616352081299,9.997302055358887
54,siteDC-3,54,161180.000000000000000,34787806.081871829926968,0.000000000000000,37.571395874023438,37.571395874023438,5.852635225298243,5.368852430366518,943327.745613570907153,4.280911445617676,13.599977588653569
55,siteDC-4,55,1046074.000000000000000,225776271.617371827363968,0.000000000000000,44.780345916748047,44.780345916748047,5.642006279484738,5.680792884070572,5901956.076805717311800,3.776530504226685,13.700338649749765
56,site12-1,56,998.000000000000000,215400.362760318181245,0.781472504138947,5.721127033233643,4.939654529094696,3.034792059349389,0.922683589794980,3028.722475230690634,2.851427435874939,4.573369884490967
57,SC-8B,57,4247584.000000000000000,916764663.782488346099854,0.000000000000000,50.319381713867188,50.319381713867188,7.440959515426292,6.927353181812412,31606100.582372471690178,5.097996234893799,17.803702735900877
58,site14,58,119161.000000000000000,25718760.147176627069712,0.000000000000000,60.185264587402344,60.185264587402344,3.378099055200617,4.687921535365728,402537.661516760766972,2.027376890182495,6.855374813079834
59,siteSC-9A,59,4620207.000000000000000,997188641.109981298446655,0.000000000000000,60.185264587402344,60.185264587402344,7.159137973243213,6.883099128684733,33076699.377944104373455,4.817600727081299,17.417419052124021
60,siteSCoutlet170710,60,4761526.000000000000000,1027689807.307301402091980,0.000000000000000,60.185264587402344,60.185264587402344,7.045697632718614,6.845755150927750,33548272.466328132897615,4.703769922256470,17.216428756713867
61,siteSCoutlet170807,61,4769021.000000000000000,1029307468.348271965980530,0.000000000000000,60.185264587402344,60.185264587402344,7.036902996497848,6.844612686293180,33559138.165261164307594,4.696220874786377,17.204477310180664
62,site3,62,284494.000000000000000,61402916.636406771838665,0.000000000000000,44.429721832275391,44.429721832275391,13.889155238916599,7.640844804489321,3951381.330540338996798,12.687857151031494,24.826988792419435
63,siteSC-1A,63,88464.000000000000000,19093364.420068927109241,0.000000000000000,45.457798004150391,45.457798004150391,17.495533181730249,8.109413199787337,1547724.847388584632427,17.387505531311035,28.361392402648924
64,siteSC-2B,64,501960.000000000000000,108339044.179528370499611,0.000000000000000,45.457798004150391,45.457798004150391,13.807954600060421,7.983646240170786,6931040.891046329401433,12.178160190582275,25.487383460998537
65,site8,65,40116.000000000000000,8658317.587668260559440,0.000000000000000,34.495521545410156,34.495521545410156,10.062402385187228,6.160187272684193,403663.334084170870483,9.187177658081055,18.822237968444824
66,site29,66,64111.000000000000000,13837207.071068895980716,0.000000000000000,26.400747299194336,26.400747299194336,6.004136371332337,3.528164112063207,384931.186902487475891,5.384130954742432,10.444874763488770
67,site0,67,31477.000000000000000,6793744.708022580482066,0.000000000000000,44.061222076416016,44.061222076416016,6.398515052374671,4.814539819014625,201406.058303597528720,5.380359649658203,12.168762397766116
68,siteSC-3B,68,663703.000000000000000,143248363.692496448755264,0.000000000000000,45.457798004150391,45.457798004150391,12.823302761008682,7.895330284809617,8510864.512389745563269,10.989983558654785,24.534139251708986
69,site20,69,12277.000000000000000,2649769.793194815982133,0.000000000000000,21.971052169799805,21.971052169799805,3.710955514949442,2.433563212469876,45559.400857034292130,3.219878435134888,6.869403648376466
