OID_,Name,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name_1,LakeAddChe,Shape_Leng,Shape_Length,Area_km2,Area_km2geodesic
89,R/Cv,46,0,S3DNTS7160730,Y,39206.58459,6574.789552,0.89267765,0.893365019
90,Mv,9,0,site27,Y,7068.348341,4257.190229,0.503726527,0.504121179
91,Mv,45,0,S3INTSINFLOW3160730,Y,35682.3182,4257.190229,0.503726527,0.504121179
92,Mv,46,0,S3DNTS7160730,Y,39206.58459,4257.190229,0.503726527,0.504121179
93,R/Cv,9,0,site27,Y,7068.348341,129.8477252,0.000293841,0.000294027
94,R/Cv,45,0,S3INTSINFLOW3160730,Y,35682.3182,129.8477252,0.000293841,0.000294027
95,R/Cv,46,0,S3DNTS7160730,Y,39206.58459,129.8477252,0.000293841,0.000294027
96,MpMbMpv,9,0,site27,Y,7068.348341,3702.063229,0.361039244,0.361321866
97,MpMbMpv,45,0,S3INTSINFLOW3160730,Y,35682.3182,3702.063229,0.361039244,0.361321866
98,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,3702.063229,0.361039244,0.361321866
99,MpMbMpv,9,0,site27,Y,7068.348341,342.9425989,0.002043761,0.002044743
100,MpMbMpv,45,0,S3INTSINFLOW3160730,Y,35682.3182,342.9425989,0.002043761,0.002044743
101,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,342.9425989,0.002043761,0.002044743
102,Mv,16,0,SDDNTS400150704,Y,7087.512259,2621.422425,0.019802039,0.019817389
103,Mv,45,0,S3INTSINFLOW3160730,Y,35682.3182,2621.422425,0.019802039,0.019817389
104,Mv,46,0,S3DNTS7160730,Y,39206.58459,2621.422425,0.019802039,0.019817389
105,MpMbMpv,16,0,SDDNTS400150704,Y,7087.512259,1435.957207,0.023332879,0.023350828
106,MpMbMpv,45,0,S3INTSINFLOW3160730,Y,35682.3182,1435.957207,0.023332879,0.023350828
107,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,1435.957207,0.023332879,0.023350828
108,Cx,43,0,S2DNTS5160617,Y,24551.93494,1145.035166,0.01345477,0.013465023
109,Cx,44,0,S3UPTS6160730,Y,25887.85677,1145.035166,0.01345477,0.013465023
110,Cx,46,0,S3DNTS7160730,Y,39206.58459,1145.035166,0.01345477,0.013465023
111,MpMbMpv,43,0,S2DNTS5160617,Y,24551.93494,489.6735922,0.004152004,0.004155488
112,MpMbMpv,44,0,S3UPTS6160730,Y,25887.85677,489.6735922,0.004152004,0.004155488
113,MpMbMpv,46,0,S3DNTS7160730,Y,39206.58459,489.6735922,0.004152004,0.004155488
114,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,2800.778054,0.114200126,0.114284644
115,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,2800.778054,0.114200126,0.114284644
116,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,2800.778054,0.114200126,0.114284644
117,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,33221.10498,4.790788176,4.794939783
118,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,33221.10498,4.790788176,4.794939783
119,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,33221.10498,4.790788176,4.794939783
120,MpMbMpv,58,0,siteSC-9A,Y,258694.6456,575.3383288,0.014074431,0.014085223
121,MpMbMpv,59,0,siteSCoutlet170710,Y,263523.1099,575.3383288,0.014074431,0.014085223
122,MpMbMpv,60,0,siteSCoutlet170807,Y,267972.9067,575.3383288,0.014074431,0.014085223
123,Cx,58,0,siteSC-9A,Y,258694.6456,30709.83156,6.726825059,6.731865191
124,Cx,59,0,siteSCoutlet170710,Y,263523.1099,30709.83156,6.726825059,6.731865191
125,Cx,60,0,siteSCoutlet170807,Y,267972.9067,30709.83156,6.726825059,6.731865191
126,Cx,58,0,siteSC-9A,Y,258694.6456,181.7264238,0.000872675,0.00087321
127,Cx,59,0,siteSCoutlet170710,Y,263523.1099,181.7264238,0.000872675,0.00087321
128,Cx,60,0,siteSCoutlet170807,Y,267972.9067,181.7264238,0.000872675,0.00087321
129,Cx,58,0,siteSC-9A,Y,258694.6456,311.3979364,0.000860151,0.00086051
130,Cx,59,0,siteSCoutlet170710,Y,263523.1099,311.3979364,0.000860151,0.00086051
131,Cx,60,0,siteSCoutlet170807,Y,267972.9067,311.3979364,0.000860151,0.00086051
132,MhMrMm,58,0,siteSC-9A,Y,258694.6456,14674.88916,2.929920478,2.932218697
133,MhMrMm,59,0,siteSCoutlet170710,Y,263523.1099,14674.88916,2.929920478,2.932218697
134,MhMrMm,60,0,siteSCoutlet170807,Y,267972.9067,14674.88916,2.929920478,2.932218697
135,ApAt,58,0,siteSC-9A,Y,258694.6456,13571.35337,3.517515407,3.520535113
136,ApAt,59,0,siteSCoutlet170710,Y,263523.1099,13571.35337,3.517515407,3.520535113
137,ApAt,60,0,siteSCoutlet170807,Y,267972.9067,13571.35337,3.517515407,3.520535113
