OID_,Field1,site,loc,trans,date,lat,long,notes,year,campaign,trannum,loc2,snapped,NEAR_FID,NEAR_DIST
81,81,SD,DN,TS-0400,2015-07-04 0:00:00,67.177048999999997,-135.724670000000003,NA,2015,2015shorttransects,1,DNTS400m,Y,25,2402.673400370283616
82,82,SD,DN,TS-0400,2015-07-22 0:00:00,67.177048999999997,-135.724670000000003,NA,2015,2015shorttransects,2,DNTS400m,Y,25,2402.673400370283616
83,83,SD,DN,TS-0400,2015-08-16 0:00:00,67.177048999999997,-135.724670000000003,NA,2015,2015shorttransects,3,DNTS400m,Y,25,2402.673400370283616
84,84,SD,IN,SS-0000,2015-07-04 0:00:00,67.180300000000003,-135.727170000000001,NA,2015,2015shorttransects,1,IN,Y,25,2117.278222366868704
85,85,SD,IN,SS-0000,2015-07-22 0:00:00,67.180300000000003,-135.727170000000001,NA,2015,2015shorttransects,2,IN,Y,25,2117.278222366868704
86,86,SD,IN,SS-0000,2015-08-16 0:00:00,67.180300000000003,-135.727170000000001,NA,2015,2015shorttransects,3,IN,Y,25,2117.278222366868704
87,87,SD,UP,SS-0000,2015-07-04 0:00:00,67.183310000000006,-135.729099999999988,NA,2015,2015shorttransects,1,UP,Y,25,1897.248122550843163
88,88,SD,UP,SS-0000,2015-07-22 0:00:00,67.183310000000006,-135.729099999999988,NA,2015,2015shorttransects,2,UP,Y,25,1897.248122550843163
89,89,SD,UP,SS-0000,2015-08-16 0:00:00,67.183310000000006,-135.729099999999988,NA,2015,2015shorttransects,3,UP,Y,25,1897.248122550843163
90,90,SE,DN,SS-0000,2015-07-06 0:00:00,67.148920000000004,-135.715730000000008,NA,2015,2015shorttransects,1,DN,Y,18,3431.923388896353117
91,91,SE,DN,SS-0000,2015-07-21 0:00:00,67.148920000000004,-135.715730000000008,NA,2015,2015shorttransects,2,DN,Y,18,3431.923388896353117
92,92,SE,DN,SS-0000,2015-08-21 0:00:00,67.148920000000004,-135.715730000000008,NA,2015,2015shorttransects,3,DN,Y,18,3431.923388896353117
93,93,SE,DN,SS-0000,2016-06-17 0:00:00,67.149032000000005,-135.714435000000009,NA,2016,2016transect,1,DN,Y,18,3475.216211595592995
94,94,SE,DN,SS-0000,2016-07-25 0:00:00,67.148826999999997,-135.718356000000000,equivalent to Scott's SE DN 1,2016,2016transect,2,DN,Y,18,3318.807652034228795
95,95,SE,DN,SS-0000,2016-08-09 0:00:00,67.149032000000005,-135.714435000000009,NA,2016,2016transect,3,DN,Y,18,3475.216211595592995
96,96,SE,DN,TS-0100,2015-07-06 0:00:00,67.149000000000001,-135.713907000000006,NA,2015,2015shorttransects,1,DNTS100m,Y,18,3508.675702958861621
97,97,SE,DN,TS-0100,2015-07-21 0:00:00,67.149000000000001,-135.713907000000006,NA,2015,2015shorttransects,2,DNTS100m,Y,18,3508.675702958861621
98,98,SE,DN,TS-0100,2015-08-21 0:00:00,67.149018999999996,-135.713051000000007,SE tongue moved 25m downstream so shifted all transect points down,2015,2015shorttransects,3,DNTS100m,Y,18,3546.089094753317113
99,99,SE,DN,TS-0200,2015-07-06 0:00:00,67.149056999999999,-135.712144999999992,NA,2015,2015shorttransects,1,DNTS200m,Y,18,3598.998946455026726
100,100,SE,DN,TS-0200,2015-07-21 0:00:00,67.149056999999999,-135.712144999999992,NA,2015,2015shorttransects,2,DNTS200m,Y,18,3598.998946455026726
101,101,SE,DN,TS-0200,2015-08-21 0:00:00,67.148944000000000,-135.711196999999999,SE tongue moved 25m downstream so shifted all transect points down,2015,2015shorttransects,3,DNTS200m,Y,18,3627.708755872624806
102,102,SE,DN,TS-0400,2015-07-06 0:00:00,67.148836900000006,-135.708033000000000,NA,2015,2015shorttransects,1,DNTS400m,Y,18,3764.225965556359824
103,103,SE,DN,TS-0400,2015-07-21 0:00:00,67.148836900000006,-135.708033000000000,NA,2015,2015shorttransects,2,DNTS400m,Y,18,3764.225965556359824
104,104,SE,DN,TS-0400,2015-08-21 0:00:00,67.148983999999999,-135.707195000000013,SE tongue moved 25m downstream so shifted all transect points down,2015,2015shorttransects,3,DNTS400m,Y,18,3800.929058833654835
105,105,SE,DN,TS-0600,2015-07-06 0:00:00,67.149271999999996,-135.704389899999995,NA,2015,2015shorttransects,1,DNTS600m,Y,18,3915.776939684025365
106,106,SE,DN,TS-0600,2015-07-21 0:00:00,67.149271999999996,-135.704389899999995,NA,2015,2015shorttransects,2,DNTS600m,Y,18,3915.776939684025365
107,107,SE,DN,TS-0600,2015-08-21 0:00:00,67.149081800000005,-135.704504299999996,"new one not recorded, old one here right now, enough error in Google Earth pro that predicting new one won't make a difference",2015,2015shorttransects,3,DNTS600m,Y,18,3922.323273483714274
108,108,SE,DN,TS-0800,2015-07-06 0:00:00,67.149748000000002,-135.700803900000011,NA,2015,2015shorttransects,1,DNTS800m,Y,19,4066.539707555602945
