"","site","date","samptype","SR_d","a254dec_d","atot250450_d","sampcode","streamloc","repnum","dilfac","SR_p","atot250450_p","a254naperian_p","HIX_p","prcntC1_p","prcntC2_p","prcntC3_p","prcntC4_p","prcntC5_p","normC1_p","normC2_p","normC3_p","normC4_p","normC5_p","pkAB_p","pkCB_p","pkTC_p","pkCM_p","normA_p","normB_p","normC_p","normE_p","normD_p","normM_p","normN_p","normT_p","FrI_d","BIX_d","HIX_d","pkAB_d","pkCB_d","pkTC_d","pkCM_d","pkCA_d","prcntC1_d","prcntC2_d","prcntC3_d","normC1_d","normC2_d","normC3_d","normA_d","normB_d","normC_d","normE_d","normD_d","normM_d","normN_d","normT_d"
"21","35","2017-07-20","Sample",0.885891693169396,52.2005115511551,9189.38528106435,"35_NA_SS-0000_2017-07-20_Sample_1",NA,2,0.5,0.6188212605864,198.675938133851,2.4783302042475,0.899653073,0.256307535452246,0.132910015341381,0.367401628662876,0.129211159387407,0.11416966115609,0.377256214546938,0.195628775309288,0.540774376388011,0.190184470314944,0.168045056138734,5.0466523792289,3.4019735641735,0.223609108349342,1.13223427207301,0.820801539904775,0.162642773511218,0.553306415889022,0.0950360431324526,0.197100392223173,0.488685451002972,0.174938510248744,0.123724354300914,0.531090568007774,0.532834536245523,0.935470879583069,15.3384633901309,9.93254172481207,0.181501010345995,1.08967282457827,0.647557807596481,0.470795528518922,0.363065861591716,0.166138609889362,0.122295632853555,0.0943113658079183,0.0431567956937656,0.87486578489555,0.0570373812971681,0.566526169608137,0.0506366913412514,0.223097390060199,0.519904834579495,0.209982670626551,0.102825072171323
"22","36","2017-07-20","Sample",1.06575095132575,7.98983498349835,1622.596302533,"36_NA_SS-0000_2017-07-20_Sample_1",NA,1,1,0.788636223192837,24.3785906066847,0.326622864585228,0.910814553,0.283650224181656,0.111133596901816,0.345328618886191,0.140068748681395,0.119818811348942,0.428481613259831,0.167878248731303,0.52165290597614,0.211587646635716,0.180998120956148,4.42627403831197,2.95641163842536,0.243150760791947,1.11397174100864,0.840932371388613,0.189986513286311,0.561678339023505,0.0819026293932622,0.202081580042188,0.504212376621814,0.200634756091636,0.136572515453923,0.658051609809472,0.659415455012583,0.889218205942183,10.9503288408657,7.32235930474081,0.243544164780388,1.06775124797776,0.668688530833372,0.492943061419319,0.381223723670892,0.125833214909789,1.86846130873641,1.44499808071255,0.476960752294384,0.37151148899376,0.0339269709971913,0.248425471762956,0.0220306368374197,0.106083425507825,0.232662309909218,0.11064194695885,0.0605025740306829
"23","37","2017-07-20","Sample",1.37570256084624,6.74899752475248,1399.62560953383,"37_NA_SS-0000_2017-07-20_Sample_1",NA,1,1,0.124259538657876,318.863602510891,3.11744568910891,0.811892605,0.326590760142503,0.151676594272463,0.123732872704419,0.109508881039888,0.288490891840728,0.717825386176618,0.333375352719955,0.271956858464205,0.240693443953917,0.634084337700335,1.42844201289253,0.823049501783798,0.45480036787813,0.895897770733117,0.918543096540872,0.643038421056283,0.529252452078214,0.153170432498331,0.262981288818522,0.590750942091445,0.299747829335193,0.240704209905574,0.67938068091606,0.681238930684169,0.834909704351734,15.830345803849,9.56009053765107,0.330452699577463,1.03298404587352,0.603909141095746,0.490905333165808,0.344365975678246,0.164728691155946,0.45955664264876,0.322375132094372,0.15420929279247,0.413611465379651,0.0261277593366967,0.249783744804778,0.0298825001410883,0.120869171515152,0.241807940599463,0.128837432328782,0.082541712781307
"24","38","2017-07-20","Sample",1.10310823914709,51.1304867986799,9550.12725806931,"38_NA_SS-0000_2017-07-20_Sample_1",NA,1,1,0.0430595451796174,981.606483605092,10.0249979475186,0.828179815,0.358376869800008,0.124133905969619,0.160333184737148,0.105618406345067,0.251537633148158,0.684335944174328,0.237038996945234,0.306163066329596,0.201682859356059,0.480321857188721,1.81587472254993,1.1283867927703,0.407509284178625,0.94463111335227,0.880374696227867,0.484821273899119,0.547065922321841,0.115803259058997,0.219732638377021,0.579131805621387,0.280656957613947,0.222934442403893,0.60294780692754,0.603673837107424,0.854582155476059,7.48188838363799,4.67940579498105,0.29852813545229,1.05094689468428,0.625431115119862,0.469957619906028,0.348862777474373,0.181179602619599,0.0509740954123914,0.0378395066950215,0.0196517004077033,0.877027760059442,0.117220107423334,0.548520449965052,0.0535211832055838,0.235137251470848,0.521929749961187,0.252640643753221,0.163748787185518
"25","40-alt1","2017-08-09","Duplicate",0.956234352707486,15.0099958745875,2594.33334783416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","40-alt1","2017-08-09","Sample",0.940802120792275,15.2139273927393,2658.86778771452,"40-alt1_NA_SS-0000_2017-08-09_Sample_1",NA,1,1,0.935484311507017,15.7221709103993,0.209821769056713,0.856972952,0.249614326088682,0.126519949466543,0.287680008927349,0.106796229193513,0.229389486323913,0.429135424407703,0.217512324156734,0.494577713783903,0.183603424764244,0.394365003446574,2.07223286973948,1.37673188010848,0.31427998467867,1.05475647847819,0.812125188690731,0.391908265016968,0.539552602526864,0.104831707456146,0.196857629675375,0.511542345115843,0.195021030434088,0.169570583655479,0.552781539136766,0.561654263294764,0.931708011276229,15.9722346474525,11.2472525233498,0.145015130691678,1.20479999761647,0.704175262360279,0.488268672375,0.374758973628288,0.136972353996712,0.948321079603034,0.727861225938237,0.266029294867744,0.632799781592332,0.039618738113972,0.445601952224307,0.041837005891293,0.193268414693925,0.36985553876649,0.146969532359989,0.0646190253382747
"27","42","2017-07-15","Sample",0.682807700095055,3.74438118811881,814.276973457096,"42_NA_SS-0000_2017-07-15_Sample_1",NA,1,1,0.716694992284202,5110.09963492966,60.2243465419386,0.916944902,0.383381043443036,0.206528682833108,0.198428002084462,0.13986941011518,0.0717928615242135,0.652555880903576,0.351534090855588,0.337745858619643,0.238072819953438,0.122199192672088,6.69839138883985,3.872439953604,0.222716141434506,0.970182305464746,0.937101351756149,0.139899462028667,0.541752266247514,0.163045824203917,0.268745910447452,0.55840254269325,0.255908046853811,0.120656974352045,0.746144477683769,0.762507706995085,0.736788384156857,7.52445667432225,5.08170461993415,0.446579779885853,1.03895879665874,0.675358346772842,0.443551087785468,0.326783405737206,0.229665506477326,0.277750109101788,0.20463060309315,0.143815720979243,0.179044687490665,0.0237950320189453,0.120919324142156,0.0127104693673695,0.0471440197735863,0.116385100671007,0.0722570178042028,0.05400012515935
"28","45","2017-08-03","Duplicate",0.0276408475538282,2.5282301980198,642.980565020627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","45","2017-08-03","Sample",0.394561636626695,3.04688943894389,828.361718622112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","48","2017-07-12","Sample",0.944676578837169,14.4824051155116,2333.49193851898,"48_NA_SS-0000_2017-07-12_Sample_1",NA,1,1,0.372051571330289,11793.9419588215,128.58205991951,0.898321422,0.436353849742687,0.210010139942576,0.130306896255314,0.129252615169983,0.0940764988894402,0.772823176312904,0.371947453893316,0.230785610162238,0.228918380487119,0.166618213019107,5.54101503095092,3.15012746257686,0.320026923135052,0.929767784713594,0.948104000292966,0.171106556289247,0.539007461993709,0.170483048600197,0.271076989138272,0.579722669311181,0.306504782103257,0.17249689960868,0.774079691098734,0.789228917693046,0.879013080174579,8.43017396591043,5.10801223054375,0.356332965345231,0.999999253910354,0.60592014485102,0.534597795831955,0.304262851614868,0.161139352553176,1.88809052138277,1.07459441588028,0.569111370360093,0.895703644530103,0.106249722503012,0.542724882037267,0.0527088786378479,0.22579177852165,0.542725286958984,0.353658691228536,0.19339076658298
