OID_,FID_watercourse_acc_count_jk_nad83zn8,waterbody,impact,type,psuedo,acc_val,distant,count,RivID,Fnode,Tnode,Strahler,Segment,acc,acc_count,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name,WatershedArea,LakeAddCheck,Shape_Length
146,371,,,,,,,,433,464,465,1,1155,0.000000000000000,0.000000000000000,59,,siteSC-9A,,Y,74.667067050909935
147,371,,,,,,,,433,464,465,1,1155,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,74.667067050909935
148,371,,,,,,,,433,464,465,1,1155,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,74.667067050909935
149,372,,,,,,,,434,465,453,2,1158,0.000000000000000,0.000000000000000,59,,siteSC-9A,,Y,138.674328088585810
150,372,,,,,,,,434,465,453,2,1158,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,138.674328088585810
151,372,,,,,,,,434,465,453,2,1158,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,138.674328088585810
152,378,,,,,,,,441,472,473,1,1156,0.000000000000000,0.000000000000000,59,,siteSC-9A,,Y,1097.522393013143301
153,378,,,,,,,,441,472,473,1,1156,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,1097.522393020103891
154,378,,,,,,,,441,472,473,1,1156,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,1097.522393020103891
155,381,,,,,,,,444,473,465,2,1158,0.000000000000000,0.000000000000000,59,,siteSC-9A,,Y,299.767564579322766
156,381,,,,,,,,444,473,465,2,1158,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,299.767564579322766
157,381,,,,,,,,444,473,465,2,1158,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,299.767564579322766
158,384,,,,,,,,447,479,480,1,6,0.000000000000000,0.000000000000000,59,,siteSC-9A,,Y,272.277886214506395
159,384,,,,,,,,447,479,480,1,6,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,272.277886214506395
160,384,,,,,,,,447,479,480,1,6,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,272.277886214506395
161,385,,,,,,,,449,481,449,1,6,0.000000000000000,0.000000000000000,59,,siteSC-9A,,Y,177.315338562329543
162,385,,,,,,,,449,481,449,1,6,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,177.315338562329543
163,385,,,,,,,,449,481,449,1,6,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,177.315338562329543
164,387,,1,2,,,,,451,483,484,6,759,94.000000000000000,109.000000000000000,59,,siteSC-9A,,Y,8.947200298704667
165,387,,1,2,,,,,451,483,484,6,759,94.000000000000000,109.000000000000000,60,,siteSCoutlet170710,,Y,8.947200298704667
166,387,,1,2,,,,,451,483,484,6,759,94.000000000000000,109.000000000000000,61,,siteSCoutlet170807,,Y,8.947200298704667
167,388,,1,2,,,,,452,484,449,6,759,94.000000000000000,109.000000000000000,59,,siteSC-9A,,Y,966.419938670012471
168,388,,1,2,,,,,452,484,449,6,759,94.000000000000000,109.000000000000000,60,,siteSCoutlet170710,,Y,966.419938670012471
169,388,,1,2,,,,,452,484,449,6,759,94.000000000000000,109.000000000000000,61,,siteSCoutlet170807,,Y,966.419938670012471
170,390,,,,,,,,454,487,484,1,1128,0.000000000000000,0.000000000000000,59,,siteSC-9A,,Y,139.250471394191379
171,390,,,,,,,,454,487,484,1,1128,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,139.250471394191379
172,390,,,,,,,,454,487,484,1,1128,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,139.250471394191379
173,486,,,,,,,,553,589,590,1,8,0.000000000000000,0.000000000000000,59,,siteSC-9A,,Y,367.586539723490546
174,486,,,,,,,,553,589,590,1,8,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,367.586539723490546
175,486,,,,,,,,553,589,590,1,8,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,367.586539723490546
176,487,,,,,,,,554,591,590,1,9,0.000000000000000,0.000000000000000,59,,siteSC-9A,,Y,232.254600000691283
177,487,,,,,,,,554,591,590,1,9,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,232.254600000691283
178,487,,,,,,,,554,591,590,1,9,0.000000000000000,0.000000000000000,61,,siteSCoutlet170807,,Y,232.254600000691283
179,504,,,,,,,,576,590,616,2,10,0.000000000000000,0.000000000000000,59,,siteSC-9A,,Y,233.920141450298104
180,504,,,,,,,,576,590,616,2,10,0.000000000000000,0.000000000000000,60,,siteSCoutlet170710,,Y,233.920141450298104
