OID_,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name,WatershedArea,LakeAddCheck,FID_Norris1985_bedrock_geology_SZdig_SScont,FmAbbr,Fm,Epoch,Epoch2,Lithology1,Lithology2,Lithology3,Lithology4,Notes,Shape_Length,Shape_Area,polygonareakm2
85,46,,S3INTSINFLOW3160730,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,1595.248792177836549,7196.571288516029199,0.007196571288516
86,47,,S3DNTS7160730,,Y,71,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,1595.248792177836549,7196.571288516029199,0.007196571288516
87,17,,SDDNTS400150704,,Y,108,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2924.522364768781699,35938.357342559465906,0.035938357342559
88,46,,S3INTSINFLOW3160730,,Y,108,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2924.522364768781699,35938.357342559465906,0.035938357342559
89,47,,S3DNTS7160730,,Y,108,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2924.522364768781699,35938.357342559465906,0.035938357342559
90,44,,S2DNTS5160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1574.005028698545175,17606.772401193597034,0.017606772401194
91,45,,S3UPTS6160730,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1574.005028698545175,17606.772401193597034,0.017606772401194
92,47,,S3DNTS7160730,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,1574.005028698545175,17606.772401193597034,0.017606772401194
93,59,,siteSC-9A,,Y,48,KBC,Boundary Creek,Cretaceous,Upper Cretaceous,Shale,Bentonite,NA,NA,marine,8485.632572358023026,2348289.902950308285654,2.348289902950308
94,60,,siteSCoutlet170710,,Y,48,KBC,Boundary Creek,Cretaceous,Upper Cretaceous,Shale,Bentonite,NA,NA,marine,8485.632572358023026,2348289.902950308285654,2.348289902950308
95,61,,siteSCoutlet170807,,Y,48,KBC,Boundary Creek,Cretaceous,Upper Cretaceous,Shale,Bentonite,NA,NA,marine,8485.632572358023026,2348289.902950308285654,2.348289902950308
96,59,,siteSC-9A,,Y,85,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,23206.887643617003050,6738303.323355235159397,6.738303323355235
97,60,,siteSCoutlet170710,,Y,85,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,23206.887643617003050,6738303.323355235159397,6.738303323355235
98,61,,siteSCoutlet170807,,Y,85,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,23206.887643617003050,6738303.323355235159397,6.738303323355235
99,59,,siteSC-9A,,Y,86,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,2723.292812514765501,325604.008902079716790,0.325604008902080
100,60,,siteSCoutlet170710,,Y,86,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,2723.292812514765501,325604.008902079716790,0.325604008902080
101,61,,siteSCoutlet170807,,Y,86,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,2723.292812514765501,325604.008902079716790,0.325604008902080
102,59,,siteSC-9A,,Y,105,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,30278.497718785343750,6300709.424196182750165,6.300709424196183
103,60,,siteSCoutlet170710,,Y,105,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,30278.497718785343750,6300709.424196182750165,6.300709424196183
104,61,,siteSCoutlet170807,,Y,105,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,30278.497718785343750,6300709.424196182750165,6.300709424196183
105,59,,siteSC-9A,,Y,107,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,36561.170467400494090,32466690.629141964018345,32.466690629141965
106,60,,siteSCoutlet170710,,Y,107,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,36561.170467400494090,32466690.629141964018345,32.466690629141965
107,61,,siteSCoutlet170807,,Y,107,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,36561.170467400494090,32466690.629141964018345,32.466690629141965
108,59,,siteSC-9A,,Y,109,CT,Tuttle,Carboniferous,Carboniferous,Conglomerate,Sandstone,Shale,NA,Fluviatile,3157.934614166094889,446175.323921522649471,0.446175323921523
109,60,,siteSCoutlet170710,,Y,109,CT,Tuttle,Carboniferous,Carboniferous,Conglomerate,Sandstone,Shale,NA,Fluviatile,3157.934614166094889,446175.323921522649471,0.446175323921523
110,61,,siteSCoutlet170807,,Y,109,CT,Tuttle,Carboniferous,Carboniferous,Conglomerate,Sandstone,Shale,NA,Fluviatile,3157.934614166094889,446175.323921522649471,0.446175323921523
111,59,,siteSC-9A,,Y,110,CT,Tuttle,Carboniferous,Carboniferous,Conglomerate,Sandstone,Shale,NA,Fluviatile,2387.088664506034092,141962.291647501057014,0.141962291647501
112,60,,siteSCoutlet170710,,Y,110,CT,Tuttle,Carboniferous,Carboniferous,Conglomerate,Sandstone,Shale,NA,Fluviatile,2387.088664506034092,141962.291647501057014,0.141962291647501
113,61,,siteSCoutlet170807,,Y,110,CT,Tuttle,Carboniferous,Carboniferous,Conglomerate,Sandstone,Shale,NA,Fluviatile,2387.088664506034092,141962.291647501057014,0.141962291647501
114,59,,siteSC-9A,,Y,111,Qf,NA,Quaternary,Pleistocene and Holocene,NA,NA,NA,NA,Fluviatile silt sand and gravel,13411.096062182483365,4086789.019524025730789,4.086789019524026
115,60,,siteSCoutlet170710,,Y,111,Qf,NA,Quaternary,Pleistocene and Holocene,NA,NA,NA,NA,Fluviatile silt sand and gravel,13411.096062182483365,4086789.019524025730789,4.086789019524026
116,61,,siteSCoutlet170807,,Y,111,Qf,NA,Quaternary,Pleistocene and Holocene,NA,NA,NA,NA,Fluviatile silt sand and gravel,13411.096062182483365,4086789.019524025730789,4.086789019524026
