OID_,FID_ch3archydrowatersheds2021061_nad83zn8,HydroID,Name,WatershedArea,LakeAddCheck,FID_Norris1985_bedrock_geology_SZdig_SScont,FmAbbr,Fm,Epoch,Epoch2,Lithology1,Lithology2,Lithology3,Lithology4,Notes,Shape_Length,Shape_Area,polygonareakm2
980,12,,SDDN150704,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2968.452077032219677,209880.601561672665412,0.209880601561673
981,13,,site48,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2968.452077032219677,209880.601561672665412,0.209880601561673
982,14,,SDDNTS100150704,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2968.452077032219677,209880.601561672665412,0.209880601561673
983,15,,SDDNTS200150704,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2968.452077032219677,209880.601561672665412,0.209880601561673
984,16,,SDDNTS300150704,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2968.452077032219677,209880.601561672665412,0.209880601561673
985,17,,SDDNTS400150704,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2968.452077032219677,209880.601561672665412,0.209880601561673
986,46,,S3INTSINFLOW3160730,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2968.452077032219677,209880.601561672665412,0.209880601561673
987,47,,S3DNTS7160730,,Y,104,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,2968.452077032219677,209880.601561672665412,0.209880601561673
988,20,,SEDN160725,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,36.109438247405663,0.021662756825356,0.000000021662757
989,21,,SEDN150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,36.109438247405663,0.021662756825356,0.000000021662757
990,22,,SEDN160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,36.109438247405663,0.021662756825356,0.000000021662757
991,23,,SEDNTS100150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,36.109438247405663,0.021662756825356,0.000000021662757
992,24,,SEDNTS100150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,36.109438247405663,0.021662756825356,0.000000021662757
993,43,,S2INTSINFLOW2160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,36.109438247405663,0.021662756825356,0.000000021662757
994,44,,S2DNTS5160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,36.109438247405663,0.021662756825356,0.000000021662757
995,45,,S3UPTS6160730,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,36.109438247405663,0.021662756825356,0.000000021662757
996,47,,S3DNTS7160730,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,36.109438247405663,0.021662756825356,0.000000021662757
997,36,,SEDNTS1000150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2993.219354885513894,133151.701510046230396,0.133151701510046
998,37,,SEDNTS1000150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2993.219354885513894,133151.701510046230396,0.133151701510046
999,38,,HAUPTS2160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2993.219354885513894,133151.701510046230396,0.133151701510046
1000,39,,HAUPTS22160726,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2993.219354885513894,133151.701510046230396,0.133151701510046
1001,41,,HADNTS3160726,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2993.219354885513894,133151.701510046230396,0.133151701510046
1002,42,,S2UPTS4160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2993.219354885513894,133151.701510046230396,0.133151701510046
1003,44,,S2DNTS5160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2993.219354885513894,133151.701510046230396,0.133151701510046
1004,45,,S3UPTS6160730,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2993.219354885513894,133151.701510046230396,0.133151701510046
1005,47,,S3DNTS7160730,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2993.219354885513894,133151.701510046230396,0.133151701510046
1006,57,,SC-8B,,Y,93,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,501.774871212541541,0.365617541995732,0.000000365617542
1007,59,,siteSC-9A,,Y,93,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,501.774871212541541,0.365617541995732,0.000000365617542
1008,60,,siteSCoutlet170710,,Y,93,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,501.774871212541541,0.365617541995732,0.000000365617542
1009,61,,siteSCoutlet170807,,Y,93,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,501.774871212541541,0.365617541995732,0.000000365617542
1010,65,,site8,,Y,93,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,501.774871212541541,0.365617541995732,0.000000365617542
1011,75,,siteSC-4B,,Y,93,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,501.774871212541541,0.365617541995732,0.000000365617542
1012,79,,siteSC-5B,,Y,93,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,501.774871212541541,0.365617541995732,0.000000365617542
1013,80,,siteSC-6B,,Y,93,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,501.774871212541541,0.365617541995732,0.000000365617542
1014,83,,siteSC-7B,,Y,93,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,501.774871212541541,0.365617541995732,0.000000365617542
1015,57,,SC-8B,,Y,92,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,19738.792506527748628,8372205.501684104092419,8.372205501684103
1016,59,,siteSC-9A,,Y,92,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,19738.792506527748628,8372205.501684104092419,8.372205501684103
1017,60,,siteSCoutlet170710,,Y,92,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,19738.792506527748628,8372205.501684104092419,8.372205501684103
1018,61,,siteSCoutlet170807,,Y,92,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,19738.792506527748628,8372205.501684104092419,8.372205501684103
1019,66,,site29,,Y,92,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,19738.792506527748628,8372205.501684104092419,8.372205501684103
1020,75,,siteSC-4B,,Y,92,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,19738.792506527748628,8372205.501684104092419,8.372205501684103
1021,79,,siteSC-5B,,Y,92,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,19738.792506527748628,8372205.501684104092419,8.372205501684103
1022,80,,siteSC-6B,,Y,92,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,19738.792506527748628,8372205.501684104092419,8.372205501684103
1023,83,,siteSC-7B,,Y,92,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,19738.792506527748628,8372205.501684104092419,8.372205501684103
1024,57,,SC-8B,,Y,93,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,13040.743146965754931,5466121.771844725124538,5.466121771844725
1025,59,,siteSC-9A,,Y,93,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,13040.743146965754931,5466121.771844725124538,5.466121771844725
1026,60,,siteSCoutlet170710,,Y,93,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,13040.743146965754931,5466121.771844725124538,5.466121771844725
1027,61,,siteSCoutlet170807,,Y,93,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,13040.743146965754931,5466121.771844725124538,5.466121771844725
1028,66,,site29,,Y,93,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,13040.743146965754931,5466121.771844725124538,5.466121771844725
1029,75,,siteSC-4B,,Y,93,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,13040.743146965754931,5466121.771844725124538,5.466121771844725
1030,79,,siteSC-5B,,Y,93,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,13040.743146965754931,5466121.771844725124538,5.466121771844725
1031,80,,siteSC-6B,,Y,93,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,13040.743146965754931,5466121.771844725124538,5.466121771844725
1032,83,,siteSC-7B,,Y,93,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,13040.743146965754931,5466121.771844725124538,5.466121771844725
1033,57,,SC-8B,,Y,52,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,6724.253484521000246,1351205.496611197013408,1.351205496611197
1034,59,,siteSC-9A,,Y,52,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,6724.253484521000246,1351205.496611197013408,1.351205496611197
1035,60,,siteSCoutlet170710,,Y,52,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,6724.253484521000246,1351205.496611197013408,1.351205496611197
1036,61,,siteSCoutlet170807,,Y,52,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,6724.253484521000246,1351205.496611197013408,1.351205496611197
1037,68,,siteSC-3B,,Y,52,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,6724.253484521000246,1351205.496611197013408,1.351205496611197
1038,75,,siteSC-4B,,Y,52,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,6724.253484521000246,1351205.496611197013408,1.351205496611197
1039,79,,siteSC-5B,,Y,52,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,6724.253484521000246,1351205.496611197013408,1.351205496611197
1040,80,,siteSC-6B,,Y,52,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,6724.253484521000246,1351205.496611197013408,1.351205496611197
1041,83,,siteSC-7B,,Y,52,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,6724.253484521000246,1351205.496611197013408,1.351205496611197
1042,57,,SC-8B,,Y,91,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,19859.361118808021274,11174780.659476924687624,11.174780659476925
1043,59,,siteSC-9A,,Y,91,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,19859.361118808021274,11174780.659476924687624,11.174780659476925
1044,60,,siteSCoutlet170710,,Y,91,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,19859.361118808021274,11174780.659476924687624,11.174780659476925
1045,61,,siteSCoutlet170807,,Y,91,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,19859.361118808021274,11174780.659476924687624,11.174780659476925
1046,68,,siteSC-3B,,Y,91,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,19859.361118808021274,11174780.659476924687624,11.174780659476925
1047,75,,siteSC-4B,,Y,91,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,19859.361118808021274,11174780.659476924687624,11.174780659476925
1048,79,,siteSC-5B,,Y,91,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,19859.361118808021274,11174780.659476924687624,11.174780659476925
1049,80,,siteSC-6B,,Y,91,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,19859.361118808021274,11174780.659476924687624,11.174780659476925
1050,83,,siteSC-7B,,Y,91,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,19859.361118808021274,11174780.659476924687624,11.174780659476925
1051,57,,SC-8B,,Y,92,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,13693.487998022781539,6557861.476662604138255,6.557861476662604
1052,59,,siteSC-9A,,Y,92,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,13693.487998022781539,6557861.476662604138255,6.557861476662604
1053,60,,siteSCoutlet170710,,Y,92,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,13693.487998022781539,6557861.476662604138255,6.557861476662604
1054,61,,siteSCoutlet170807,,Y,92,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,13693.487998022781539,6557861.476662604138255,6.557861476662604
1055,68,,siteSC-3B,,Y,92,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,13693.487998022781539,6557861.476662604138255,6.557861476662604
1056,75,,siteSC-4B,,Y,92,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,13693.487998022781539,6557861.476662604138255,6.557861476662604
1057,79,,siteSC-5B,,Y,92,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,13693.487998022781539,6557861.476662604138255,6.557861476662604
1058,80,,siteSC-6B,,Y,92,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,13693.487998022781539,6557861.476662604138255,6.557861476662604
1059,83,,siteSC-7B,,Y,92,KRR,Rat River,Cretaceous,Lower Cretaceous,Sandstone,Siltstone,NA,NA,conglomeratic; marine,13693.487998022781539,6557861.476662604138255,6.557861476662604
1060,57,,SC-8B,,Y,102,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,3769.602075934148615,376340.451302151777782,0.376340451302152
1061,59,,siteSC-9A,,Y,102,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,3769.602075934148615,376340.451302151777782,0.376340451302152
1062,60,,siteSCoutlet170710,,Y,102,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,3769.602075934148615,376340.451302151777782,0.376340451302152
1063,61,,siteSCoutlet170807,,Y,102,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,3769.602075934148615,376340.451302151777782,0.376340451302152
1064,68,,siteSC-3B,,Y,102,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,3769.602075934148615,376340.451302151777782,0.376340451302152
1065,75,,siteSC-4B,,Y,102,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,3769.602075934148615,376340.451302151777782,0.376340451302152
1066,79,,siteSC-5B,,Y,102,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,3769.602075934148615,376340.451302151777782,0.376340451302152
1067,80,,siteSC-6B,,Y,102,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,3769.602075934148615,376340.451302151777782,0.376340451302152
1068,83,,siteSC-7B,,Y,102,KMG,Mount Goodenough,Cretaceous,Lower Cretaceous,Shale,Siltstone,Sandstone,NA,marine,3769.602075934148615,376340.451302151777782,0.376340451302152
1069,57,,SC-8B,,Y,70,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,1134.712270852380243,4873.774816577609272,0.004873774816578
1070,57,,SC-8B,,Y,75,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,1134.712270852380243,4873.774816577609272,0.004873774816578
1071,59,,siteSC-9A,,Y,70,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,1134.712270852380243,4873.774816577609272,0.004873774816578
1072,59,,siteSC-9A,,Y,75,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,1134.712270852380243,4873.774816577609272,0.004873774816578
1073,60,,siteSCoutlet170710,,Y,70,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,1134.712270852380243,4873.774816577609272,0.004873774816578
1074,60,,siteSCoutlet170710,,Y,75,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,1134.712270852380243,4873.774816577609272,0.004873774816578
1075,61,,siteSCoutlet170807,,Y,70,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,1134.712270852380243,4873.774816577609272,0.004873774816578
1076,61,,siteSCoutlet170807,,Y,75,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,1134.712270852380243,4873.774816577609272,0.004873774816578
1077,72,,site36,,Y,70,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,1134.712270852380243,4873.774816577609272,0.004873774816578
1078,72,,site36,,Y,75,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,1134.712270852380243,4873.774816577609272,0.004873774816578
1079,79,,siteSC-5B,,Y,70,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,1134.712270852380243,4873.774816577609272,0.004873774816578
1080,79,,siteSC-5B,,Y,75,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,1134.712270852380243,4873.774816577609272,0.004873774816578
1081,80,,siteSC-6B,,Y,70,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,1134.712270852380243,4873.774816577609272,0.004873774816578
1082,80,,siteSC-6B,,Y,75,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,1134.712270852380243,4873.774816577609272,0.004873774816578
1083,83,,siteSC-7B,,Y,70,JKNB,North Branch,Jurassic and Cretaceous,Jurassic and Lower Cretaceous,Sandstone,Conglomerate,NA,NA,glauconitic; marine,1134.712270852380243,4873.774816577609272,0.004873774816578
1084,83,,siteSC-7B,,Y,75,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,1134.712270852380243,4873.774816577609272,0.004873774816578
1085,57,,SC-8B,,Y,94,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,1767.988585971697830,10362.493408128208102,0.010362493408128
1086,57,,SC-8B,,Y,99,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,1767.988585971697830,10362.493408128208102,0.010362493408128
1087,59,,siteSC-9A,,Y,94,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,1767.988585971697830,10362.493408128208102,0.010362493408128
1088,59,,siteSC-9A,,Y,99,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,1767.988585971697830,10362.493408128208102,0.010362493408128
1089,60,,siteSCoutlet170710,,Y,94,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,1767.988585971697830,10362.493408128208102,0.010362493408128
1090,60,,siteSCoutlet170710,,Y,99,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,1767.988585971697830,10362.493408128208102,0.010362493408128
1091,61,,siteSCoutlet170807,,Y,94,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,1767.988585971697830,10362.493408128208102,0.010362493408128
1092,61,,siteSCoutlet170807,,Y,99,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,1767.988585971697830,10362.493408128208102,0.010362493408128
1093,75,,siteSC-4B,,Y,94,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,1767.988585971697830,10362.493408128208102,0.010362493408128
1094,75,,siteSC-4B,,Y,99,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,1767.988585971697830,10362.493408128208102,0.010362493408128
1095,79,,siteSC-5B,,Y,94,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,1767.988585971697830,10362.493408128208102,0.010362493408128
1096,79,,siteSC-5B,,Y,99,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,1767.988585971697830,10362.493408128208102,0.010362493408128
1097,80,,siteSC-6B,,Y,94,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,1767.988585971697830,10362.493408128208102,0.010362493408128
1098,80,,siteSC-6B,,Y,99,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,1767.988585971697830,10362.493408128208102,0.010362493408128
1099,83,,siteSC-7B,,Y,94,Dus,NA,Devonian,Upper,Shale,Gypsiferous,NA,NA,rusty weather; marine,1767.988585971697830,10362.493408128208102,0.010362493408128
1100,83,,siteSC-7B,,Y,99,DI,Imperial,Devonian,Upper,Sandstone,Shale,Siltstone,NA,Flyschoid,1767.988585971697830,10362.493408128208102,0.010362493408128
1101,35,,SEDNTS800150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2846.158602768764922,52214.355352976926952,0.052214355352977
1102,36,,SEDNTS1000150706,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2846.158602768764922,52214.355352976926952,0.052214355352977
1103,37,,SEDNTS1000150821,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2846.158602768764922,52214.355352976926952,0.052214355352977
1104,38,,HAUPTS2160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2846.158602768764922,52214.355352976926952,0.052214355352977
1105,39,,HAUPTS22160726,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2846.158602768764922,52214.355352976926952,0.052214355352977
1106,41,,HADNTS3160726,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2846.158602768764922,52214.355352976926952,0.052214355352977
1107,42,,S2UPTS4160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2846.158602768764922,52214.355352976926952,0.052214355352977
1108,44,,S2DNTS5160617,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2846.158602768764922,52214.355352976926952,0.052214355352977
1109,45,,S3UPTS6160730,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2846.158602768764922,52214.355352976926952,0.052214355352977
1110,47,,S3DNTS7160730,,Y,116,KAR,Arctic Red,Cretaceous,Lower Cretaceous,Shale,Siltstone,NA,NA,concretionary silty shale; marine,2846.158602768764922,52214.355352976926952,0.052214355352977
1111,57,,SC-8B,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,40182.262415475015587,10375155.316459773108363,10.375155316459773
1112,59,,siteSC-9A,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,40182.262415475015587,10375155.316459773108363,10.375155316459773
1113,60,,siteSCoutlet170710,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,40182.262415475015587,10375155.316459773108363,10.375155316459773
1114,61,,siteSCoutlet170807,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,40182.262415475015587,10375155.316459773108363,10.375155316459773
1115,64,,siteSC-2B,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,40182.262415475015587,10375155.316459773108363,10.375155316459773
1116,68,,siteSC-3B,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,40182.262415475015587,10375155.316459773108363,10.375155316459773
1117,75,,siteSC-4B,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,40182.262415475015587,10375155.316459773108363,10.375155316459773
1118,79,,siteSC-5B,,Y,50,Kq,NA,Cretaceous,Lower Cretaceous,Sandstone,Shale,NA,NA,marine,40182.262415475015587,10375155.316459773108363,10.375155316459773
