OID_,Name,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
14,SDDNTS100150704,14,5141.000000000000000,1109592.449850496836007,569.869201660156250,765.000000000000000,195.130798339843750,706.744322685712518,44.647102113514308,3633372.562927247956395,716.921081542968750,759.929321289062500
15,SDDNTS200150704,15,5379.000000000000000,1160960.472232216037810,558.404113769531250,765.000000000000000,206.595886230468750,704.671502366698519,45.904920773437553,3790428.011230471543968,714.620300292968750,759.503625488281273
16,SDDNTS300150704,16,5806.000000000000000,1253120.747681770939380,551.349121093750000,765.000000000000000,213.650878906250000,698.340523157701568,50.980938919663075,4054565.077453615143895,708.812500000000000,758.192932128906250
17,SDDNTS400150704,17,6017.000000000000000,1298661.305339513579383,549.385986328125000,765.000000000000000,215.614013671875000,696.093995662193265,52.504734487887255,4188397.571899416856468,706.608154296875000,757.637500000000045
18,SEUP160617,18,24611.000000000000000,5311842.011918026953936,539.385925292968750,1009.836547851562500,470.450622558593750,733.769070776931812,97.893797733474358,18058790.600891068577766,728.259643554687500,867.848205566406250
19,SEUP150706,19,24689.000000000000000,5328676.910009514540434,538.600463867187500,1009.836547851562500,471.236083984375000,733.278946740516631,98.132600749884674,18103923.916076615452766,728.025085449218750,867.600903320312682
20,SEDN160725,20,25220.000000000000000,5443283.716247719712555,533.391906738281250,1009.836547851562500,476.444641113281250,730.072323780224451,99.580046847096384,18412424.005737259984016,725.222106933593750,865.497711181640625
21,SEDN150706,21,25672.000000000000000,5540839.792367623187602,528.251525878906250,1009.836547851562500,481.585021972656250,727.232050376502798,100.989168095283176,18669501.197265580296516,722.635498046875000,864.188403320312432
22,SEDN160617,22,25822.000000000000000,5573214.596389715559781,525.649475097656250,1009.836547851562500,484.187072753906250,726.270494642027757,101.488769980954984,18753756.712646439671516,721.696868896484375,863.650506591796898
23,SEDNTS100150706,23,25975.000000000000000,5606236.896492249332368,524.055236816406250,1009.836547851562500,485.781311035156250,725.332416571577824,101.931182988384137,18840509.520446732640266,720.665100097656250,863.129711914062455
24,SEDNTS100150821,24,26081.000000000000000,5629115.091334527358413,520.287536621093750,1009.836547851562500,489.549011230468750,724.625569233977330,102.329550654774891,18898959.471191361546516,719.918334960937500,862.741271972656250
25,SEDNTS200150706,25,26282.000000000000000,5672497.328724130988121,517.903198242187500,1009.836547851562500,491.933349609375000,723.433898528663235,102.855210723215635,19013289.721130326390266,718.623840332031250,862.181353759765784
26,SEDNTS200150821,26,26483.000000000000000,5715879.566113733686507,516.566772460937500,1009.836547851562500,493.269775390625000,722.116234943169502,103.576363062302192,19123804.249999959021807,717.413085937500000,861.494030761718705
27,SEDNTSA160725,27,26672.000000000000000,5756671.819181569851935,513.054504394531250,1009.836547851562500,496.782043457031250,720.883304158868782,104.249428048526397,19227399.488525349646807,716.195617675781250,860.854553222656364
28,SEDNTSB160725,28,3674.000000000000000,792966.866514437831938,515.424743652343750,732.000000000000000,216.575256347656250,626.607451379200825,36.687760251411760,2302155.776367183774710,624.500000000000000,676.360180664062455
29,SEDNTSC160725,29,30389.000000000000000,6558919.462849006988108,512.106872558593750,1009.836547851562500,497.729675292968750,709.242645913407841,103.356281761505201,21553174.766662549227476,698.935363769531250,851.350488281250023
30,SEDNTS400150706,30,30473.000000000000000,6577049.353101378306746,510.590118408203125,1009.836547851562500,499.246429443359375,708.788978607453600,103.579116383849808,21598926.545104932039976,698.606567382812500,851.164465332031341
31,SEDNTS400150821,31,30671.000000000000000,6619784.094410539604723,507.014984130859375,1009.836547851562500,502.821563720703125,707.813721347882165,103.966094704887198,21709354.647460892796516,697.447875976562500,850.711181640625000
32,SEDNTS600150706,32,31213.000000000000000,6736765.052943699061871,501.319610595703125,1009.836547851562500,508.516937255859375,705.083169408124604,105.120943021423031,22007760.966735791414976,694.474304199218750,849.452148437500000
33,SEDNTS600150821,33,31300.000000000000000,6755542.439276511780918,501.319610595703125,1009.836547851562500,508.516937255859375,704.699490531944321,105.230482968149389,22057094.053649857640266,694.011505126953125,849.242639160156273
34,SEDNTS800150706,34,32105.000000000000000,6929287.220861738547683,487.250549316406250,1009.836547851562500,522.585998535156250,700.873361923247330,106.686041992246615,22501539.284545853734016,689.225708007812500,846.867297363281295
35,SEDNTS800150821,35,32352.000000000000000,6982597.731484782882035,485.312103271484375,1009.836547851562500,524.524444580078125,699.722015787419423,107.104153090939363,22637406.654754593968391,687.757843017578125,846.234893798828125
36,SEDNTS1000150706,36,32971.000000000000000,7116197.756082615815103,478.074920654296875,1009.836547851562500,531.761627197265625,696.660548366306784,108.427946995077377,22969594.940185502171516,684.037841796875000,844.665588378906250
37,SEDNTS1000150821,37,33125.000000000000000,7149435.888211963698268,474.622436523437500,1009.836547851562500,535.214111328125000,695.895529379789309,108.769887081773348,23051539.410705521702766,683.105041503906250,844.247753906250182
38,HAUPTS2160617,38,35266.000000000000000,7611532.257620622403920,444.749877929687500,1009.836547851562500,565.086669921875000,684.248059747141156,115.144570300832214,24130692.075042679905891,671.965484619140625,838.371643066406250
39,HAUPTS22160726,39,35548.000000000000000,7672396.889182155020535,441.514221191406250,1009.836547851562500,568.322326660156250,682.687089152767840,116.032272695994735,24268160.645202592015266,670.818511962890625,837.614416503906227
40,HAINTSINFLOW1160617,40,4979.000000000000000,1074627.661506637465209,453.931488037109375,641.000000000000000,187.068511962890625,572.240572231988835,30.672448254740093,2849185.809143072459847,578.589477539062500,611.126501464843727
41,HADNTS3160726,41,40533.000000000000000,8748319.542849676683545,440.718261718750000,1009.836547851562500,569.118286132812500,669.084630028110496,115.087395711849339,27120007.308929402381182,645.185852050781250,825.742578125000023
42,S2UPTS4160617,42,44730.000000000000000,9654166.559387808665633,390.185852050781250,1009.836547851562500,619.650695800781250,652.626951280162871,121.460483051334137,29192003.530761685222387,629.459228515625000,818.894738769531159
43,S2INTSINFLOW2160617,43,41579.000000000000000,8974079.842897063121200,390.215881347656250,1283.886840820312500,893.670959472656250,660.722619090025887,155.724842836340287,27472185.779144186526537,612.387695312500000,877.725854492187523
44,S2DNTS5160617,44,86398.000000000000000,18647455.452671311795712,389.873748779296875,1283.886840820312500,894.013092041015625,656.301759221143698,139.194133654681366,56703159.393188372254372,620.384307861328125,840.526806640624955
45,S3UPTS6160730,45,87885.000000000000000,18968397.676543649286032,375.506713867187500,1283.886840820312500,908.380126953125000,652.798605286778411,140.662116410384357,57371205.425628520548344,617.546569824218750,838.121813964843909
46,S3INTSINFLOW3160730,46,96301.000000000000000,20784840.014209821820259,374.113403320312500,1227.733032226562500,853.619628906250000,712.885440711501701,162.214533533820997,68651580.825958326458931,700.325134277343750,949.846740722656250
47,S3DNTS7160730,47,184215.000000000000000,39759496.819531075656414,373.662994384765625,1283.886840820312500,910.223846435546875,684.170037580214853,155.269413855376712,126034383.472839280962944,659.990112304687500,904.822949218749955
48,site71,48,1521.000000000000000,328280.512784011953045,476.619049072265625,585.385437011718750,108.766387939453125,528.740544546755473,26.047609282735706,804214.368255615117960,528.197021484375000,561.564575195312500
49,site62,49,8672.000000000000000,1871695.336530540371314,338.000000000000000,496.000000000000000,158.000000000000000,429.756490485695508,41.466371471106932,3726848.285491951275617,428.000000000000000,490.000000000000000
50,site13,50,10461.000000000000000,2257818.832500689662993,341.000000000000000,429.000000000000000,88.000000000000000,376.530495818196016,21.581128357610595,3938885.516754148527980,366.227111816406250,411.000000000000000
51,site10,51,475879.000000000000000,102709929.088193848729134,228.000000000000000,1016.403076171875000,788.403076171875000,450.984169534274429,113.510467268232802,214613895.613800972700119,422.136749267578125,607.951953125000045
52,site7,52,51866.000000000000000,11194343.902732126414776,273.069641113281250,519.000000000000000,245.930358886718750,426.810842004562403,47.174787445461099,22136971.131408631801605,432.620498657226562,489.000000000000000
53,site57,53,11431.000000000000000,2467175.898510217666626,245.629928588867188,460.000000000000000,214.370071411132812,379.514895704367234,41.392664238331598,4338234.772796621546149,371.039001464843750,440.416717529296875
54,siteDC-3,54,161180.000000000000000,34787806.081871829926968,129.000000000000000,519.000000000000000,390.000000000000000,356.398090182958981,77.160442469930473,57444244.175689332187176,364.469238281250000,457.652529907226551
55,siteDC-4,55,1046074.000000000000000,225776271.617371827363968,65.998504638671875,1016.403076171875000,950.404571533203125,376.598207348746826,118.431726857419875,393949593.154132962226868,365.350341796875000,517.650476074218773
56,site12-1,56,998.000000000000000,215400.362760318181245,318.862945556640625,382.000000000000000,63.137054443359375,345.925433325146287,16.088130659852837,345233.582458495977335,343.784774780273438,368.545837402343750
57,SC-8B,57,4247584.000000000000000,916764663.782488346099854,55.000000000000000,1498.681396484375000,1443.681396484375000,523.348916658154508,237.429182970060026,2222968484.814510345458984,457.085754394531250,870.723986816406295
58,site14,58,119161.000000000000000,25718760.147176627069712,44.000000000000000,408.694366455078125,364.694366455078125,299.427546259818541,77.698080833126795,35680085.839866235852242,311.046081542968750,384.173095703125000
59,siteSC-9A,59,4620207.000000000000000,997188641.109981298446655,11.000000000000000,1498.681396484375000,1487.681396484375000,499.866828653906168,242.902760482169498,2309488220.814578056335449,429.000000000000000,852.835131835937545
60,siteSCoutlet170710,60,4761526.000000000000000,1027689807.307301402091980,8.000000000000000,1498.681396484375000,1490.681396484375000,489.344130851375326,247.218697790499732,2330024801.996225833892822,420.879180908203125,846.809112548828125
61,siteSCoutlet170807,61,4769021.000000000000000,1029307468.348271965980530,7.000000000000000,1498.681396484375000,1491.681396484375000,488.592172122929696,247.750429480481671,2330106329.289866447448730,420.182891845703125,846.460632324218750
