OID_,FID_watercourse_acc_count_jk_nad83zn8,waterbody,impact,type,psuedo,acc_val,distant,count,RivID,Fnode,Tnode,Strahler,Segment,acc,acc_count,FID_revisedsite10wpoly_nad83zn8,HydroID,CREATED,Shape_Length
190,1869,,,,,,,,2097,2083,2071,1,906,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,888.698319192311033
191,1871,,,,,,,,2099,2085,2086,1,895,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,9.005689032016452
192,1872,,,,,,,,2100,2086,2060,2,898,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,1263.808275987653360
193,1873,,,,,,,,2101,2085,2087,1,895,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,23.225378268773117
194,1874,,,,,,,,2102,2087,2086,2,898,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,32.231264813893439
195,1878,,1,2,,,,,2106,2082,2053,3,899,3.000000000000000,3.000000000000000,1,0,2021-10-11 19:02:44,3343.536390530922745
196,1883,,1,1,,1,,1,2111,2094,2061,2,903,1.000000000000000,1.000000000000000,1,0,2021-10-11 19:02:44,1347.387969105774118
197,1884,,,,,,,,2112,2095,2094,1,900,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,33.917281493501214
198,1885,,,,,,,,2113,2096,2094,2,903,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,128.504107512870576
199,1886,,,,,,,,2114,2097,2082,1,908,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,1109.536158445540877
200,1890,,,,,,,,2118,2102,2066,1,904,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,1249.206490606953366
201,1894,,,,,,,,2122,2106,2096,1,901,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,445.604652677038587
202,1899,,,,,,,,2127,2112,2096,1,902,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,616.488602935088693
203,1901,,,,,,,,2129,2114,2085,1,895,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,2692.604656445276305
204,1906,,,,,,,,2134,2120,2121,1,896,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,275.594138588124395
205,1918,,,,,,,,2146,2132,2121,1,897,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,1039.273667907323215
206,1942,,,,,,,,2170,2003,1998,2,886,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,263.676211929314547
207,1943,,,,,,,,2171,2155,2003,1,885,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,348.462594658974581
208,1951,,,,,,,,2179,2121,2087,2,898,0.000000000000000,0.000000000000000,1,0,2021-10-11 19:02:44,1482.728930893550114
