system:index,HydroID,LakeAddChe,Name,Shape_Area,Shape_Leng,WatershedA,mean
20,0,Y,SEDNTS600150821,6756497.561,15902.13233,0,352.1355362
21,0,Y,SEDNTS800150706,6933274.903,16302.02121,0,353.0062311
22,0,Y,SEDNTS800150821,6985489.236,16578.11229,0,353.2723336
23,0,Y,SEDNTS1000150706,7118640.936,16970.26101,0,354.0204546
24,0,Y,SEDNTS1000150821,7152820.214,17106.99654,0,354.2132815
25,0,Y,HAUPTS2160617,7614269.513,18863.82625,0,356.9767541
26,0,Y,HAUPTS22160726,7674652.888,18972.16236,0,357.3344516
27,0,Y,HAINTSINFLOW1160617,1079560.19,8350.35635,0,384.3140372
28,0,Y,HADNTS3160726,8755261.297,19759.42525,0,360.6699376
29,0,Y,S2UPTS4160617,9663690.501,21949.53018,0,363.4140903
0000000000000000002a,0,Y,S2INTSINFLOW2160617,8971844.215,21209.24344,0,370.8254297
0000000000000000002b,0,Y,S2DNTS5160617,1.87E+07,24551.93494,0,367.000622
0000000000000000002c,0,Y,S3UPTS6160730,1.90E+07,25887.85677,0,367.2597584
0000000000000000002d,0,Y,S3INTSINFLOW3160730,2.08E+07,35682.3182,0,344.7703896
0000000000000000002e,0,Y,S3DNTS7160730,3.98E+07,39206.58459,0,355.5028144
0000000000000000002f,0,Y,site71,328070.5838,3633.289447,0,394.4150921
30,0,Y,site62,1869021.975,10889.70008,0,403.0405548
31,0,Y,site13,2257419.119,8995.516517,0,396.6477415
32,0,Y,site10,1.03E+08,82937.72067,0,394.6674075
33,0,Y,site7,1.12E+07,21892.46785,0,403.9650204
34,0,Y,site57,2470704.251,9837.093023,0,395.6948376
35,0,Y,siteDC-3,3.48E+07,43137.1669,0,401.6679391
36,0,Y,siteDC-4,2.26E+08,127713.0386,0,396.6853687
37,0,Y,site12-1,211604.9792,3831.035085,0,404.6151626
38,0,Y,SC-8B,9.17E+08,237453.753,0,370.7068766
39,0,Y,site14,2.57E+07,48819.29437,0,404.4346617
0000000000000000003a,0,Y,siteSC-9A,9.97E+08,258694.6456,0,373.7601807
44,0,Y,site20,2653471.739,12077.91629,0,363.5075154
45,0,Y,site19,9102970.765,22391.73955,0,314.7316733
46,0,Y,site5,1.81E+07,25525.5358,0,354.600298
47,0,Y,site36,4.25E+07,54545.36664,0,321.9873145
48,0,Y,site37,2.63E+07,45537.58056,0,342.6075355
49,0,Y,site38,4173318.201,12122.56923,0,392.1515412
0000000000000000004a,0,Y,siteSC-4B,2.35E+08,112154.2356,0,328.9628698
0000000000000000004b,0,Y,site24,3661513.88,13663.57841,0,355.6710754
0000000000000000004c,0,Y,site23,1.38E+07,26301.05699,0,348.8207959
0000000000000000004d,0,Y,site35,2910119.968,9064.966602,0,387.2237571
0000000000000000004e,0,Y,siteSC-5B,4.79E+08,162850.4689,0,348.3784163
0000000000000000004f,0,Y,siteSC-6B,5.95E+08,194569.6103,0,355.6840262
50,0,Y,site9alt,3.28E+07,43408.06294,0,398.15964
51,0,Y,site6,4972126.887,13039.93453,0,394.0266527
52,0,Y,siteSC-7B,6.65E+08,213971.6585,0,360.2889133
