OID_,FID_rts_delineations_stony_sarahaddCB,FID_rts_delineations_stony,OBJECTID,SHAPE_Leng,SLUMP_ID,STATUS,GEOMORPH,SECONDARY,CONNECTIVI,RIPARIAN,NOTES,IMAGE_SOUR,IMAGE_DATE,mapped,FID_Peel_Slumps_2016_CB,OBJECTID_12,SHAPE_Leng_1,SLUMP_ID_1,STATUS_1,GEOMORPH_1,SECONDARY_1,CONNECTIVI_1,RIPARIAN_1,NOTES_1,IMAGE_SOUR_1,IMAGE_DATE_1,FID_revisedsite10wpoly_nad83zn8,HydroID,CREATED,Shape_Length,Shape_Area
53,53,53,148,526.092114135999964,86,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,526.092114143310141,10413.622114095629513
54,54,54,149,291.440336855999988,87,1,1,1,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,291.440336855999703,3756.285596851904302
55,55,55,150,1142.185394580000093,88,1,1,1,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,1142.185394573259600,33505.419411982969905
56,56,56,151,1144.639411229999951,89,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,1144.639411220481406,55528.591845477800234
57,57,57,153,680.617849335999949,91,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,680.617849357392629,13341.136560384131371
58,58,58,154,1882.062988050000058,92,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,1882.062988080289870,90394.475809153504088
59,59,59,156,1345.878838619999897,94,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,1345.878838636697992,65875.746605345644639
60,60,60,157,799.158627999000032,95,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,799.158627997662961,18669.393805629177223
61,61,61,158,756.470819085000016,96,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,756.470819085064818,13979.040872058545574
62,62,62,161,448.187269445000027,99,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,448.187269448500729,9030.593974358953346
63,67,67,229,282.618497213000012,143,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,282.618497218252514,2670.677498857671708
64,68,68,230,350.876923808000015,144,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,350.876923798169287,4335.412076539459122
65,69,69,233,1202.247298439999895,145,1,2,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,1202.247298456174349,49680.275304989394499
66,70,70,234,686.905427420000024,146,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,686.905427408318019,14651.047862316227111
67,71,71,245,648.045223418999967,155,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,648.045223404608805,19421.658012164160027
68,72,72,248,965.412162064999961,157,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,965.412162065560324,42784.200079551454110
69,73,73,250,274.694124117999991,158,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,274.694124125589724,3065.801793149325476
70,74,74,252,655.183854784000005,160,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,655.183854767953335,12638.006100892309405
71,76,76,265,1177.528612220000014,170,1,1,1,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,-1,0,1899-12-30 0:00:00,1177.528612229687269,44151.725009088426305
